Date,Opponent,Won,Forfeited,Overworld,Nether Nav,Bastion,Fortress,Blind,Stronghold,End,Total,Seed,Bastion Type
1768724766,Calta_,False,False,355688,29530,390012,171454,309794,462074,,1734639,DESERT_TEMPLE,HOUSING
1768721696,13Odysseus,False,True,364029,33007,391939,107313,811693,,,2014486,SHIPWRECK,BRIDGE
1768719512,asphaltdream,True,False,278938,90266,419063,304030,262121,195247,174055,1733681,VILLAGE,HOUSING
1768715955,zSPC,True,True,274155,108046,491066,229770,,,,1420995,VILLAGE,STABLES
1768714203,09Dragon_Heart,True,False,394360,141090,521040,215666,207301,156335,101658,1747528,SHIPWRECK,TREASURE
1768644841,1kier,True,True,361040,56202,629413,316131,,,,1421424,VILLAGE,TREASURE
1768642215,Migsej,True,False,406640,117152,371157,257897,362708,132451,101351,1759326,VILLAGE,STABLES
1768638658,Mr_PenguinMC,True,False,311921,9079,469000,201341,264565,546516,305394,2117846,VILLAGE,STABLES
1768636372,thatPERS0N,True,True,402770,9475,650839,147602,,,,1460802,VILLAGE,BRIDGE
1768634788,MapleFireExists,True,True,240678,57488,,,,,,807666,VILLAGE,HOUSING
